id_problem,id_check
ก๊อกน้ำรั่ว,ตรวจใต้ซิงค์และท่อว่ามีน้ำหยด
กลิ่นเหม็นจากขยะ,นำขยะออกตามกำหนด
กลิ่นเหม็นจากขยะ,ล้างถังขยะเป็นประจำ
แมลงและหนูบริเวณถังขยะ,นำขยะออกตามกำหนด
งบบานปลายตอนรีโนเวท,ทบทวนงบประมาณรายไตรมาส
สไตล์การตกแต่งล้าสมัย,ประเมินธีมห้องปัจจุบัน
สไตล์การตกแต่งล้าสมัย,หาโอกาสตกแต่งเพิ่มเติม
ผนังมีรอยแตกลายงา,มองหารอยด่างบนผนัง
ผนังมีคราบเชื้อราหรือตะไคร่น้ำ,ตรวจเชื้อราในห้องชื้น
ประตูหน้าต่างติดขัด (โครงสร้างยุบ),สำรวจรอยร้าวเป็นระยะ
ประตูหน้าต่างติดขัด (โครงสร้างยุบ),เช็กการปิดของประตูหน้าต่าง
ประตูหน้าต่างติดขัด (โครงสร้างยุบ),ตรวจเสา-คานที่มองเห็นได้
ท่อน้ำรั่ว/แตก,เช็กมิเตอร์น้ำหาการรั่ว
ท่อน้ำรั่ว/แตก,ตรวจใต้ซิงค์และท่อว่ามีน้ำหยด
แมลงสาบในครัว,วางกับดัก/สังเกตแมลงสาบ
ผ้าม่านหมอง/มีคราบ,ตรวจความสะอาดของผ้าม่าน/พรม
ใช้งบซ่อมบ้านเกินกำหนด,ทบทวนงบประมาณรายไตรมาส
กลอนหรือลูกบิดเสีย,เช็กการปิดของประตูหน้าต่าง
ศัตรูพืชทำลายสวน,ตรวจสุขภาพต้นไม้ใบไม้
ฝุ่นสะสมในบ้าน,ปัดฝุ่นบนเฟอร์นิเจอร์
กลิ่นไม่พึงประสงค์,ทำความสะอาดพื้นทุกสัปดาห์
กลิ่นไม่พึงประสงค์,จัดการขยะทุกวัน
กลิ่นไม่พึงประสงค์,ตรวจมุมอับซ่อนสิ่งสกปรก
เสียงดังผิดปกติจากระบบ,เช็กการทำงานพัดลม/มอเตอร์
สัตว์เลี้ยงกัดแทะสิ่งของ,ตรวจรั้ว/กรงสัตว์เลี้ยง
สัตว์เลี้ยงกัดแทะสิ่งของ,ดูสายไฟและของใช้ถูกแทะ
ผนังหรือพื้นแตกร้าว,สำรวจรอยร้าวเป็นระยะ
ผนังหรือพื้นแตกร้าว,ตรวจเสา-คานที่มองเห็นได้
ขยะอันตรายถูกทิ้งผิดวิธี,รวบรวมขยะอันตรายไว้ต่างหาก
หนูในฝ้า/ผนัง,ฟังเสียงหนูตอนกลางคืน
ไม่ทราบราคาค่าวัสดุ/ช่าง,เปรียบเทียบราคาก่อนซื้อ/จ้าง
ไม่มีประวัติบำรุงรักษาบ้าน,จัดแฟ้มบันทึกซ่อมบ้าน
การระบายอากาศไม่เพียงพอ,ตรวจช่องระบายอากาศ
ไฟเซ็นเซอร์ไม่ติด,ตรวจมุมกล้องและไฟเซ็นเซอร์
ไม่เข้าใจประกันภัยบ้าน,ทบทวนกรมธรรม์ประกันบ้าน
ไฟตก/ไฟเกิน,ตรวจสายไฟและอุปกรณ์ว่าชำรุดหรือไม่
ไฟตก/ไฟเกิน,เช็กตู้โหลด/เบรกเกอร์ว่าปกติ
ไฟตก/ไฟเกิน,ตรวจโหลดการใช้ไฟต่อวงจร
นกหรือสัตว์รบกวนอื่นๆ,ตรวจตาข่ายกันนก
เชื้อราในห้องน้ำ,ล้างห้องน้ำทุกสัปดาห์
เฟอร์นิเจอร์ชำรุด/เก่า,ตรวจเฟอร์นิเจอร์ชำรุด
เลือกช่างไม่ได้คุณภาพ (เปลืองเงิน),เปรียบเทียบราคาก่อนซื้อ/จ้าง
ขนสัตว์เลี้ยงหลุดร่วงมาก,แปรงขนสัตว์เลี้ยงประจำ
ดินรอบบ้านทรุดเป็นโพรง,สำรวจดินรอบบ้าน
สายไฟชำรุด,ตรวจสายไฟและอุปกรณ์ว่าชำรุดหรือไม่
สายไฟชำรุด,ปิดคัตเอาต์หลักก่อนซ่อม
ไม่มีเงินสำรองยามฉุกเฉิน,กันเงินสำรองทุกเดือน
ปั๊มน้ำทำงานผิดปกติ,ตรวจปั๊มน้ำและถังแรงดัน
มีกลิ่นอับจากระบบแอร์,ล้างหรือเปลี่ยนฟิลเตอร์แอร์
กิ่งไม้หัก/ต้นไม้เอียง,ตรวจสุขภาพต้นไม้ใบไม้
มดขึ้นอาหาร,ตรวจมุมห้องครัวมีมด
พื้นทรุดตัว,สำรวจรอยร้าวเป็นระยะ
พื้นทรุดตัว,ตรวจเสา-คานที่มองเห็นได้
พื้นทรุดตัว,สำรวจดินรอบบ้าน
หลังคารั่วซึม,ส่องดูคราบน้ำใต้หลังคา
หลังคารั่วซึม,สำรวจความเสียหายหลังพายุ
หลังคารั่วซึม,ตรวจดูหลังคาจากภายนอก
ของตกแต่งจัดวางไม่ดี,ประเมินธีมห้องปัจจุบัน
สาย/พอร์ตเครือข่ายเสีย,ตรวจอุปกรณ์เชื่อมต่อ
น้ำไม่ไหล/แรงดันต่ำ,ทดสอบแรงดันน้ำหลายก็อก
น้ำไม่ไหล/แรงดันต่ำ,ตรวจปั๊มน้ำและถังแรงดัน
น้ำไม่ไหล/แรงดันต่ำ,หมุนวาล์วน้ำหลักเป็นระยะ
สีซีดจาง/หม่นหมอง,ตรวจผนังภายนอก
สนามหญ้ารก,ตัดหญ้าและกำจัดวัชพืชประจำ
เอกสารบ้านสูญหาย,รวบรวมเอกสารบ้านไว้ที่เดียว
เอกสารบ้านสูญหาย,ทำสำเนา/สแกนเอกสารสำคัญ
แอร์ไม่เย็น,ล้างหรือเปลี่ยนฟิลเตอร์แอร์
แอร์ไม่เย็น,ทำความสะอาดคอยล์ร้อนนอกบ้าน
แสงไฟไม่เหมาะสม,ทดลองไฟในห้อง
โครงสร้างเหล็กเป็นสนิม,ตรวจเสา-คานที่มองเห็นได้
ดินเสื่อมคุณภาพ,ใส่ปุ๋ยตามกำหนด
รางน้ำฝนอุดตัน,ทำความสะอาดรางน้ำฝนประจำ
รางน้ำฝนอุดตัน,ตรวจข้อต่อและความลาดเอียงรางน้ำ
ประกันบ้านหมดอายุ,ตรวจวันหมดอายุประกัน/ภาษี
รางน้ำฝนรั่ว/หลุด,ตรวจข้อต่อและความลาดเอียงรางน้ำ
ยุงชุมในบ้าน,กำจัดแหล่งน้ำยุง
ไม่ได้บันทึกค่าใช้จ่าย,เก็บใบเสร็จและบันทึกทุกงาน
กลอนไฟฟ้าดิจิทัลขัดข้อง,ตรวจจุดล็อกทุกจุด
แอร์น้ำหยด,ตรวจท่อน้ำทิ้งแอร์
ข้อมูลบ้านกระจัดกระจาย,จัดแฟ้มบันทึกซ่อมบ้าน
ขยะล้น/สะสม,จัดการขยะทุกวัน
พัดลม/ระบบระบายอากาศเสีย,เช็กการทำงานพัดลม/มอเตอร์
พัดลม/ระบบระบายอากาศเสีย,ตรวจช่องระบายอากาศ
หน้าต่างปิดไม่สนิท,เช็กการปิดของประตูหน้าต่าง
หน้าต่างปิดไม่สนิท,เช็กยางขอบประตูหน้าต่าง
ความเร็วอินเทอร์เน็ตช้า,ทดสอบความเร็วอินเทอร์เน็ต
ความเร็วอินเทอร์เน็ตช้า,ตรวจอุปกรณ์เชื่อมต่อ
ความเร็วอินเทอร์เน็ตช้า,ตรวจอุณหภูมิเราเตอร์
ไม่มีประกันภัยบ้าน,ตรวจสอบความคุ้มครองประกัน
ฟิวส์ขาด/เบรกเกอร์ทริป,เช็กตู้โหลด/เบรกเกอร์ว่าปกติ
ฟิวส์ขาด/เบรกเกอร์ทริป,ตรวจโหลดการใช้ไฟต่อวงจร
ขยะรีไซเคิลปนกับขยะทั่วไป,แยกขยะรีไซเคิล
บานพับหลวมหรือมีเสียงดัง,ตรวจบานพับและสกรู
ครอบสัน/รอยต่อหลังคาเสียหาย,ส่องดูคราบน้ำใต้หลังคา
ครอบสัน/รอยต่อหลังคาเสียหาย,สำรวจความเสียหายหลังพายุ
ครอบสัน/รอยต่อหลังคาเสียหาย,ตรวจดูหลังคาจากภายนอก
มุ้งลวดฉีกขาด,ดูสภาพมุ้งลวด
สารเคลือบผิวไม้หลุดลอก,เช็กสภาพสีงานไม้
สัญญาณกันขโมยเตือนผิดพลาด,ทดสอบสัญญาณกันขโมย
สัญญาณกันขโมยเตือนผิดพลาด,เช็กแบตเตอรี่อุปกรณ์ไร้สาย
สีผนังลอกล่อน,ตรวจผนังภายนอก
ระบบรดน้ำชำรุด,เช็กหัวสปริงเกลอร์
ปลวกขึ้นบ้าน,ตรวจไม้และวงกบปลวก
สัญญาณ Wi-Fi อ่อน,เดินเช็กสัญญาณ Wi-Fi
สัญญาณ Wi-Fi อ่อน,สังเกตไฟสถานะเราเตอร์
เชื่อมต่อ Wi-Fi ไม่ได้,สังเกตไฟสถานะเราเตอร์
เชื่อมต่อ Wi-Fi ไม่ได้,ตรวจอุปกรณ์เชื่อมต่อ
กล้องวงจรปิดภาพขัดข้อง,ทดสอบกล้องและบันทึก
ข้อต่อท่อ/ซีลรั่ว,ตรวจใต้ซิงค์และท่อว่ามีน้ำหยด
แบตเตอรี่เซ็นเซอร์หมด,เช็กแบตเตอรี่อุปกรณ์ไร้สาย
น้ำขังในสนาม,สังเกตน้ำขังหลังฝน
น้ำขังในสนาม,เช็กหัวสปริงเกลอร์
ประตู/หน้าต่างไม้บวม,เช็กสภาพสีงานไม้
ประตู/หน้าต่างไม้บวม,เช็กการปิดของประตูหน้าต่าง
ระบบเตือนภัยไม่ทำงาน,ทดสอบสัญญาณกันขโมย
ระบบเตือนภัยไม่ทำงาน,เช็กแบตเตอรี่อุปกรณ์ไร้สาย
คราบสกปรกในห้องน้ำ/ครัว,ล้างห้องน้ำทุกสัปดาห์
กระเบื้องหลังคาแตกร้าว/หลุด,สำรวจความเสียหายหลังพายุ
กระเบื้องหลังคาแตกร้าว/หลุด,ตรวจดูหลังคาจากภายนอก
เราเตอร์ค้าง/ร้อนเกินไป,ตรวจอุณหภูมิเราเตอร์
น้ำซึมเข้าฐานราก,ตรวจระบบระบายน้ำฐานราก
น้ำซึมเข้าฐานราก,สำรวจดินรอบบ้าน
ไฟดับบ่อย,ตรวจสายไฟและอุปกรณ์ว่าชำรุดหรือไม่
ไฟดับบ่อย,เช็กตู้โหลด/เบรกเกอร์ว่าปกติ
สัตว์เลี้ยงขับถ่ายในบ้าน,ทำความสะอาดที่ขับถ่ายสัตว์
สีโป่งพองเป็นฟอง,มองหารอยด่างบนผนัง
สีโป่งพองเป็นฟอง,ตรวจผนังภายนอก
แมลงอย่างมด/แมลงสาบเข้ามา,วางกับดัก/สังเกตแมลงสาบ
แมลงอย่างมด/แมลงสาบเข้ามา,ตรวจมุมห้องครัวมีมด
ไฟฟ้าลัดวงจร/ไฟช็อต,ตรวจสายไฟและอุปกรณ์ว่าชำรุดหรือไม่
ไฟฟ้าลัดวงจร/ไฟช็อต,เช็กตู้โหลด/เบรกเกอร์ว่าปกติ
ไฟฟ้าลัดวงจร/ไฟช็อต,ทดสอบเครื่องตัดไฟรั่ว (RCD)
ไฟฟ้าลัดวงจร/ไฟช็อต,ปิดคัตเอาต์หลักก่อนซ่อม
เต้ารับหรือสวิตช์หลวม/เสีย,ตรวจสายไฟและอุปกรณ์ว่าชำรุดหรือไม่
น้ำล้นรางน้ำฝน,ทำความสะอาดรางน้ำฝนประจำ
น้ำล้นรางน้ำฝน,ตรวจข้อต่อและความลาดเอียงรางน้ำ
อินเทอร์เน็ตหลุดบ่อย,สังเกตไฟสถานะเราเตอร์
อินเทอร์เน็ตหลุดบ่อย,ทดสอบความเร็วอินเทอร์เน็ต
อินเทอร์เน็ตหลุดบ่อย,ตรวจอุปกรณ์เชื่อมต่อ
สัตว์เลี้ยงหลุดออกนอกบ้าน,ตรวจรั้ว/กรงสัตว์เลี้ยง
กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย,ทำความสะอาดที่ขับถ่ายสัตว์
