id_problem,id_fix
rec0MtyTgmKTfzd3B,recKKAnoSLgGPKmdy
rec0Rp87rtsWA9AZf,recbs4ibEBzfcbIU6
rec0gtW3b1LnPkA6n,recuz1zjrvg0hgMuS
rec15o7HoTQ3PL5s7,recibOx8uwVo3Xp8H
rec281us7oEtid4a0,rec2mG9JLNc4gsprf
rec281us7oEtid4a0,rec2kgZXBOJ2Y1Ngx
rec281us7oEtid4a0,recR2DmmtRVYu2VKD
rec281us7oEtid4a0,recnjiG4No24tI3Sw
rec281us7oEtid4a0,rec90zq10FTat1Csg
rec41KAyDUAF6qEa9,rec6URzdMWheGKvyP
rec41KAyDUAF6qEa9,recYglfHy7yQ10cbi
rec4zYgI9ZFvB3XiM,rec9L76QNvp0JNK63
rec5cItMuQaEmoEIa,rect0LPP5P1OAbAuQ
rec6ZZ2BixIR9hyPz,rec1wcYr89xjXHpAp
rec6ZZ2BixIR9hyPz,recKhqq0PfwSkRbYg
rec6xAp5iLGJdsEgu,recVZCekylDdlHivk
rec9QehHoASk3FH7M,recG19cwBYishDoeg
recAZyJBkIljH3C4E,rechQNohHsaBnsW7r
recBZMyWx5SNYNR43,recj3mUHJSVfpmkTH
recBZMyWx5SNYNR43,recaOGNndeZOSF7tN
recBZMyWx5SNYNR43,recbXqF5GLotk9Xmy
recCcAEKfOSRbfB8g,recVfZW8jLi9V2l2T
recCw5FrTwc4SUu1L,recNhzQx1GK0v8rpb
recFXHzQglXNIwyQ7,rec1dFLDFJM9sxxtF
recH02h0y1IQhBnYl,recymWCwwyE1ycAfh
recH02h0y1IQhBnYl,rect0LPP5P1OAbAuQ
recI5OmeM7Heiuziu,rec9kPJwl9tPGWfnU
recIa4qwwETdrEQ0S,recibOx8uwVo3Xp8H
recIa4qwwETdrEQ0S,recnXVgJcWZvvIhTx
recJTwFpsDoC5GWhn,reclfyVqnq4CMU1eQ
recJWRDdJTxjB4gAQ,recZhErluzYLmzVhp
recJXD3NfRNPjwQhr,recguu4LMvI4kLiJb
recKnKDWPpAxDpYke,reci2A92jnUkOZ9PI
recKnKDWPpAxDpYke,recJhf4ZcNZO6bwMH
recLsg9g6Z5IbfuME,recMmfUSg2Zmcb9nR
recNwCG7roHmoR3vE,rec8CMbJq4wM0kh8h
recPO2Z3SzOINNRGO,recc2G642zybdk4En
recQsQqNwmLxPYfAr,recXsOIBM4MbM6Coa
recR2D2QWlCXo6Tno,recG19cwBYishDoeg
recRiHMkbyNN9mlPO,rec3uTKjKL1PsHkID
recT1foqn7bgHoWHW,reclA3KBIKopuS0nV
recT3vKKrvx7pcWac,recI2eYB8QQese1sY
recTTfw8kqdOIYWSL,recCOEpVcQn3u6TGC
recUPXHvx6i6Ve7Kk,recHZgDnXfNJGPuYt
recVOJOQnB8qIgviw,recc2G642zybdk4En
recVOJOQnB8qIgviw,recbaHqGlY3TxWtml
recVYKvvxXqkzKRJ3,recN9TWmXvfSKF2P5
recVYKvvxXqkzKRJ3,recnBCdEeS48t7nab
recVaeQxvxVSiWQkq,rec2mG9JLNc4gsprf
recVcEAIUun7ko2Lz,recnbBrYHYlWd0auT
recVes6NAdwGS9CZU,reclA3KBIKopuS0nV
recVlSVdEsqfrQ5fj,recYglfHy7yQ10cbi
recVy7GXi9WRTUJXO,recXBnoxUsHjP0y5b
recWAIeqPhaFLElGs,recrUvuyMgIbzcNjf
recWAIeqPhaFLElGs,recf8MauaiHesbJXm
recWAIeqPhaFLElGs,recSHfUoQIm8b6kLN
recWDseEPuNsnVuqA,recI2eYB8QQese1sY
recWDseEPuNsnVuqA,receYRNJW3KWtPGPZ
recXKOreyzZJKaGpR,recnjiG4No24tI3Sw
recYAhwvpomV4qWLX,recbvoGafdUHgmSYZ
recZhVqg8FD5KLjMx,recqa9qnrQjtSDL7I
recZubem63liuAbJL,recULcRd2lodAuVG8
recZubem63liuAbJL,reckk2pmGMAlPdKs0
recaE1lpTFM3qcAzd,recL9Ixcx8nCvmS1d
recaO6dxe0HppKTbL,rec1HqCTSy75rIxRE
recajNMfFtD8j2vVG,recsWvCmpPpK9qn8x
recaogGD3QlzOjxNG,recv0M4TnH0PQaNon
recazJxtMEOPlUCSi,recf8MauaiHesbJXm
recbAkCxgHMtiqFIb,recbs4ibEBzfcbIU6
recbuO3HzIiB8GQR7,recNhzQx1GK0v8rpb
receATgPFQqMo4dZC,rectxsPuJSIJW1v1a
receATgPFQqMo4dZC,recvTL40sE8XcsG7J
recewNHMZxNCOyNOp,recBu8Ub3O4pdH3Wg
recewNHMZxNCOyNOp,recnbBrYHYlWd0auT
recexPwZdWVvZfGQA,reckk2pmGMAlPdKs0
recfEeF3Oc1Alph1C,reci2A92jnUkOZ9PI
recfEeF3Oc1Alph1C,recZzv7YMMdMa66H4
recfIvMf1niXfJs1t,recLrJ22VBioIludD
recfg0IZ2lzo380io,rec1VxwfWZOhPGvCy
rechw1ahgfmDI2YLY,recwYllhu2Ha8r66f
rechw1ahgfmDI2YLY,recvTL40sE8XcsG7J
reciVHX8OWS1IxLeh,recN9TWmXvfSKF2P5
reciVHX8OWS1IxLeh,recnBCdEeS48t7nab
reciWWw0tzZtN3S3I,recrHmsXkKz8a54Z1
reciqVFt5dhqWcA4N,recqblp1CEMxaT3sC
reciz7BtQ3BVYgD0F,recjV72ijfz09TUTe
reciz7BtQ3BVYgD0F,recZhErluzYLmzVhp
recj4DVW52tSyYMNS,recYglfHy7yQ10cbi
recj7aXHGgIIuyUCi,recYMlYN8gScW4MDd
reckIXMq0GqmT2mto,recx96TyFpU0TxX6K
recle5VxWpgPH0w7o,recBu8Ub3O4pdH3Wg
recle5VxWpgPH0w7o,recK4CH75sOnE1xsx
recle5VxWpgPH0w7o,recNhg3OmuYKakFxr
recm3VSu1cYt6MV8V,recBu8Ub3O4pdH3Wg
recm3VSu1cYt6MV8V,recRmZkSq0m5Vk0Fj
recmcgN2hSazrekxA,recjKfPfcwoOnPw2z
recomqHSw3CXBRLlT,rec1wcYr89xjXHpAp
recovG4v4P8CW7cYR,recjV72ijfz09TUTe
recpLW8eqiBurotNf,recBp0ZSPWvAXFQG7
recrd9rXbxrLmaLhs,recMqJLtuXA9ZWW73
recsNXXLi2hsLjVqw,recjV72ijfz09TUTe
recsNXXLi2hsLjVqw,recviGg80c9Y8bTof
rect30HUVNXuisHEo,recMmfUSg2Zmcb9nR
rect7uqNcq3efZ4lj,recN9TWmXvfSKF2P5
recuGcsADLx4FdtIu,recBu8Ub3O4pdH3Wg
recv5bGQjR6nxlngS,recc2G642zybdk4En
recvq15EA1MRfi2BJ,reci2A92jnUkOZ9PI
recvq15EA1MRfi2BJ,recvln5x1nwbX9dFO
recwhMM2dWDJhNXsV,rec9JvWaLRF8yFBPZ
recwrMRo4ua9Q0EbV,recYglfHy7yQ10cbi
recwrMRo4ua9Q0EbV,recSimArQUd62sOYe
recwsonYZMeRi75Dm,rechQNohHsaBnsW7r
recwsonYZMeRi75Dm,recHZgDnXfNJGPuYt
recxKrkswZtwLUw50,reci2A92jnUkOZ9PI
recxKrkswZtwLUw50,recZzv7YMMdMa66H4
recxKrkswZtwLUw50,recXsOIBM4MbM6Coa
recxKrkswZtwLUw50,recJhf4ZcNZO6bwMH
recxbiqdQp8VcjZOL,recqa9qnrQjtSDL7I
recxbiqdQp8VcjZOL,recL9Ixcx8nCvmS1d
recxbiqdQp8VcjZOL,recDtbhSlNq5NMjDX
recxsjCTLDOFFbpNz,recBu8Ub3O4pdH3Wg
recyxgDCn49tohiLS,recwDqppatqIptEdT
reczm4pdXlz5GwUJh,rec9JvWaLRF8yFBPZ
reczm4pdXlz5GwUJh,recMmfUSg2Zmcb9nR
reczm4pdXlz5GwUJh,recLB5teMgaQTffHa
